iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.7995785357905367,2.5197773260228775,0.12040441176470588,78.56226944923401,False,,,1,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-51-12,1675018272,78.56226944923401,38111,ML-RefVm-847530,10.0.0.15,78.56226944923401,0,1,0.0064122676849365234
0,2.8931361506966984,2.910352286170511,0.08272058823529412,95.71511173248291,False,0,0,1,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-57-27,1675018647,174.27738118171692,43165,ML-RefVm-847530,10.0.0.15,95.71511173248291,0,1,0.013492584228515625
1,2.3618218478034523,2.160163101027994,0.3166360294117647,78.91817879676819,False,0,0,2,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-58-46,1675018726,253.1955599784851,43165,ML-RefVm-847530,10.0.0.15,174.6332905292511,0,2,0.013492584228515625
2,1.2769872663067836,1.050804639563841,0.6783088235294118,61.34919023513794,False,0,0,3,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-59-48,1675018788,314.54475021362305,43165,ML-RefVm-847530,10.0.0.15,235.98248076438904,0,3,0.013492584228515625
3,0.5438504435268103,0.5363341902985292,0.8497242647058824,96.95894742012024,False,0,0,4,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-01-25,1675018885,411.5036976337433,43165,ML-RefVm-847530,10.0.0.15,332.9414281845093,0,4,0.013492584228515625
4,0.2483220297624083,0.42644663418040557,0.8763786764705882,86.99305391311646,False,0,0,5,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-02-52,1675018972,498.49675154685974,43165,ML-RefVm-847530,10.0.0.15,419.93448209762573,0,5,0.013492584228515625
5,0.12188277415492955,0.2815726000596495,0.9420955882352942,91.32365894317627,False,0,0,6,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-04-23,1675019063,589.820410490036,43165,ML-RefVm-847530,10.0.0.15,511.258141040802,0,6,0.013492584228515625
6,0.08507075518661854,0.37931136085706596,0.9025735294117647,84.74027585983276,False,0,0,7,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-05-48,1675019148,674.5606863498688,43165,ML-RefVm-847530,10.0.0.15,595.9984169006348,0,7,0.013492584228515625
7,0.06288238320791838,0.23610409130068385,0.9388786764705882,90.55975198745728,False,0,0,8,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-07-18,1675019238,765.120438337326,43165,ML-RefVm-847530,10.0.0.15,686.558168888092,0,8,0.013492584228515625
8,0.03243442801941259,0.2570224391186939,0.9379595588235294,89.01192426681519,False,0,0,9,3fe45933,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-08-47,1675019327,854.1323626041412,43165,ML-RefVm-847530,10.0.0.15,775.5700931549072,0,9,0.013492584228515625
