iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8588896452211867,2.7596250702353085,0.1410845588235294,105.89540529251099,False,,,1,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_18-50-41,1675018241,105.89540529251099,38114,ML-RefVm-847530,10.0.0.15,105.89540529251099,0,1,0.009838581085205078
0,2.8192799418580297,2.702228349797866,0.10110294117647059,112.05899381637573,False,0,0,1,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_18-56-18,1675018578,217.95439910888672,43157,ML-RefVm-847530,10.0.0.15,112.05899381637573,0,1,0.022075653076171875
1,2.001272068304174,1.522259466788348,0.5716911764705882,92.44210362434387,False,0,0,2,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_18-57-50,1675018670,310.3965027332306,43157,ML-RefVm-847530,10.0.0.15,204.5010974407196,0,2,0.022075653076171875
2,0.9377386207674064,0.777619877282311,0.7849264705882353,71.6988730430603,False,0,0,3,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_18-59-02,1675018742,382.0953757762909,43157,ML-RefVm-847530,10.0.0.15,276.1999704837799,0,3,0.022075653076171875
0,2.869983663745955,2.8179101382984832,0.11029411764705882,84.49330139160156,False,0,0,1,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-01-18,1675018878,466.58867716789246,50539,ML-RefVm-847530,10.0.0.15,84.49330139160156,0,1,0.01656937599182129
1,2.240192936915977,1.6469127220266007,0.4572610294117647,92.83687853813171,False,0,0,2,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-02-51,1675018971,559.4255557060242,50539,ML-RefVm-847530,10.0.0.15,177.33017992973328,0,2,0.01656937599182129
2,1.1291094737894394,0.8061521053314209,0.7890625,87.26403474807739,False,0,0,3,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-04-18,1675019058,646.6895904541016,50539,ML-RefVm-847530,10.0.0.15,264.59421467781067,0,3,0.01656937599182129
3,0.45466909718279747,0.5127689768286312,0.8556985294117647,89.94732546806335,False,0,0,4,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-05-48,1675019148,736.6369159221649,50539,ML-RefVm-847530,10.0.0.15,354.541540145874,0,4,0.01656937599182129
4,0.22943881373195088,0.32146600064109354,0.9181985294117647,89.77923083305359,False,0,0,5,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-07-18,1675019238,826.4161467552185,50539,ML-RefVm-847530,10.0.0.15,444.3207709789276,0,5,0.01656937599182129
5,0.16108215629470116,0.390828202752506,0.9067095588235294,91.01592588424683,False,0,0,6,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-08-49,1675019329,917.4320726394653,50539,ML-RefVm-847530,10.0.0.15,535.3366968631744,0,6,0.01656937599182129
6,0.1007884213810458,0.34883472498725443,0.9214154411764706,61.757784843444824,False,0,0,7,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-09-51,1675019391,979.1898574829102,50539,ML-RefVm-847530,10.0.0.15,597.0944817066193,0,7,0.01656937599182129
7,0.06687101743677083,0.19427782056086204,0.9563419117647058,59.36887836456299,False,0,0,8,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-10-50,1675019450,1038.5587358474731,50539,ML-RefVm-847530,10.0.0.15,656.4633600711823,0,8,0.01656937599182129
8,0.041657481726039856,0.18782366987536936,0.9535845588235294,59.16045260429382,False,0,0,9,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-11-49,1675019509,1097.719188451767,50539,ML-RefVm-847530,10.0.0.15,715.6238126754761,0,9,0.01656937599182129
9,0.025009751484236297,0.17679313219645443,0.9609375,59.16778039932251,False,0,0,10,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-12-49,1675019569,1156.8869688510895,50539,ML-RefVm-847530,10.0.0.15,774.7915930747986,0,10,0.01656937599182129
10,0.024110359294960897,0.20237566607401652,0.9549632352941176,59.85628700256348,False,0,0,11,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-13-48,1675019628,1216.743255853653,50539,ML-RefVm-847530,10.0.0.15,834.6478800773621,0,11,0.01656937599182129
11,0.020425351866173978,0.20543007421142914,0.9581801470588235,59.26047945022583,False,0,0,12,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-14-48,1675019688,1276.0037353038788,50539,ML-RefVm-847530,10.0.0.15,893.9083595275879,0,12,0.01656937599182129
12,0.022524807145636455,0.15949911405058467,0.9641544117647058,59.49436569213867,False,0,0,13,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-15-47,1675019747,1335.4981009960175,50539,ML-RefVm-847530,10.0.0.15,953.4027252197266,0,13,0.01656937599182129
13,0.014539408282942924,0.17721502603415182,0.9595588235294118,59.86694145202637,False,0,0,14,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-16-47,1675019807,1395.3650424480438,50539,ML-RefVm-847530,10.0.0.15,1013.2696666717529,0,14,0.01656937599182129
14,0.02485737357946003,0.44933848784250374,0.9085477941176471,59.362565755844116,False,0,0,15,4d511e4c,a8ee5a0ca37e40c9847ab6356ebb74c3,2023-01-29_19-17-46,1675019866,1454.727608203888,50539,ML-RefVm-847530,10.0.0.15,1072.632232427597,0,15,0.01656937599182129
