iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8727611092960132,2.7569460307850555,0.10661764705882353,99.08028864860535,False,,,1,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-49-53,1675018193,99.08028864860535,38111,ML-RefVm-847530,10.0.0.15,99.08028864860535,0,1,0.0064122676849365234
0,2.9087745675853656,2.902801948435166,0.09375,95.56294703483582,False,0,0,1,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-55-44,1675018544,194.64323568344116,38113,ML-RefVm-847530,10.0.0.15,95.56294703483582,0,1,0.0058667659759521484
1,2.7491874133839325,2.360667018329396,0.20634191176470587,77.43341970443726,False,0,0,2,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-57-02,1675018622,272.0766553878784,38113,ML-RefVm-847530,10.0.0.15,172.99636673927307,0,2,0.0058667659759521484
2,1.7148033824621463,1.302115713848787,0.5528492647058824,70.2504403591156,False,0,0,3,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_18-58-12,1675018692,342.327095746994,38113,ML-RefVm-847530,10.0.0.15,243.24680709838867,0,3,0.0058667659759521484
0,2.8824779052360383,2.93686178151299,0.09926470588235294,73.51807713508606,False,0,0,1,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-01-01,1675018861,415.8451728820801,43155,ML-RefVm-847530,10.0.0.15,73.51807713508606,0,1,0.015845537185668945
1,2.5550546552620683,2.301057170419132,0.21369485294117646,75.16232347488403,False,0,0,2,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-02-16,1675018936,491.0074963569641,43155,ML-RefVm-847530,10.0.0.15,148.6804006099701,0,2,0.015845537185668945
2,1.6323785010506124,1.3526671493754667,0.6158088235294118,76.83168864250183,False,0,0,3,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-03-33,1675019013,567.8391849994659,43155,ML-RefVm-847530,10.0.0.15,225.51208925247192,0,3,0.015845537185668945
3,0.7200892386483211,0.6117118930115419,0.8423713235294118,66.09285163879395,False,0,0,4,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-04-39,1675019079,633.9320366382599,43155,ML-RefVm-847530,10.0.0.15,291.60494089126587,0,4,0.015845537185668945
4,0.4063238016530579,0.5659542399294236,0.8616727941176471,74.42558884620667,False,0,0,5,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-05-54,1675019154,708.3576254844666,43155,ML-RefVm-847530,10.0.0.15,366.03052973747253,0,5,0.015845537185668945
5,0.2965291869990966,0.4278995245695114,0.8988970588235294,63.95936441421509,False,0,0,6,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-06-58,1675019218,772.3169898986816,43155,ML-RefVm-847530,10.0.0.15,429.9898941516876,0,6,0.015845537185668945
6,0.12336075499507726,0.25680456792607026,0.9425551470588235,66.75776076316833,False,0,0,7,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-08-04,1675019284,839.07475066185,43155,ML-RefVm-847530,10.0.0.15,496.74765491485596,0,7,0.015845537185668945
7,0.08650701383457464,0.22523580885985317,0.9471507352941176,63.45533871650696,False,0,0,8,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-09-08,1675019348,902.5300893783569,43155,ML-RefVm-847530,10.0.0.15,560.2029936313629,0,8,0.015845537185668945
8,0.05368242507763937,0.5430188862716451,0.8874080882352942,51.80079698562622,False,0,0,9,e0387c04,fa8aef57ccf5454ea2cabf6e40a7580b,2023-01-29_19-10-00,1675019400,954.3308863639832,43155,ML-RefVm-847530,10.0.0.15,612.0037906169891,0,9,0.015845537185668945
