iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.825600114523196,2.661235486759859,0.11534926470588236,40.382516860961914,False,,,1,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_08-56-49,1675069009,40.382516860961914,2335,ML-RefVm-847530,10.0.0.15,40.382516860961914,0,1,0.0036056041717529297
0,2.8714106129665002,2.9002397340886734,0.08823529411764706,42.00243043899536,False,0,0,1,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_08-59-08,1675069148,82.38494729995728,5534,ML-RefVm-847530,10.0.0.15,42.00243043899536,0,1,0.010883092880249023
1,2.3793249270495247,1.9606582978192497,0.36764705882352944,42.32079863548279,False,0,0,2,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_08-59-50,1675069190,124.70574593544006,5534,ML-RefVm-847530,10.0.0.15,84.32322907447815,0,2,0.010883092880249023
2,1.3627031328631383,1.183364279129926,0.6295955882352942,39.684081077575684,False,0,0,3,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-00-30,1675069230,164.38982701301575,5534,ML-RefVm-847530,10.0.0.15,124.00731015205383,0,3,0.010883092880249023
0,2.883700230542351,2.8824666387894573,0.0859375,35.36251091957092,False,0,0,1,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-01-47,1675069307,199.75233793258667,9790,ML-RefVm-847530,10.0.0.15,35.36251091957092,0,1,0.009334325790405273
1,2.4074298727746104,2.157492160797119,0.23529411764705882,35.279428482055664,False,0,0,2,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-02-22,1675069342,235.03176641464233,9790,ML-RefVm-847530,10.0.0.15,70.64193940162659,0,2,0.009334325790405273
2,1.6505590279897053,1.6158729230656343,0.5170036764705882,33.200838804244995,False,0,0,3,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-02-55,1675069375,268.23260521888733,9790,ML-RefVm-847530,10.0.0.15,103.84277820587158,0,3,0.009334325790405273
3,0.9181667309181363,0.9277866272365346,0.7385110294117647,31.958731651306152,False,0,0,4,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-03-27,1675069407,300.1913368701935,9790,ML-RefVm-847530,10.0.0.15,135.80150985717773,0,4,0.009334325790405273
4,0.5113469397320467,0.5903728446539711,0.8414522058823529,31.918816328048706,False,0,0,5,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-03-59,1675069439,332.1101531982422,9790,ML-RefVm-847530,10.0.0.15,167.72032618522644,0,5,0.009334325790405273
5,0.2609907308337735,0.4476722478866577,0.9007352941176471,35.049126386642456,False,0,0,6,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-04-34,1675069474,367.15927958488464,9790,ML-RefVm-847530,10.0.0.15,202.7694525718689,0,6,0.009334325790405273
6,0.16257616052148388,0.3894270938985488,0.9071691176470589,23.941170692443848,False,0,0,7,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-04-58,1675069498,391.1004502773285,9790,ML-RefVm-847530,10.0.0.15,226.71062326431274,0,7,0.009334325790405273
7,0.1136942993776471,0.3379029526430018,0.9287683823529411,23.559076070785522,False,0,0,8,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-05-22,1675069522,414.659526348114,9790,ML-RefVm-847530,10.0.0.15,250.26969933509827,0,8,0.009334325790405273
8,0.07777880647164934,0.2914460573126288,0.9356617647058824,23.300095558166504,False,0,0,9,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-05-45,1675069545,437.9596219062805,9790,ML-RefVm-847530,10.0.0.15,273.56979489326477,0,9,0.009334325790405273
9,0.07297660326402561,0.23592872194507541,0.9485294117647058,23.026474714279175,False,0,0,10,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-06-08,1675069568,460.9860966205597,9790,ML-RefVm-847530,10.0.0.15,296.59626960754395,0,10,0.009334325790405273
10,0.03954064512771426,0.28022905176176743,0.9439338235294118,22.970094919204712,False,0,0,11,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-06-31,1675069591,483.9561915397644,9790,ML-RefVm-847530,10.0.0.15,319.56636452674866,0,11,0.009334325790405273
11,0.022448952885015923,0.2889721963335486,0.9466911764705882,22.59125304222107,False,0,0,12,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-06-54,1675069614,506.5474445819855,9790,ML-RefVm-847530,10.0.0.15,342.1576175689697,0,12,0.009334325790405273
12,0.024712362573208177,0.34164467629264383,0.9379595588235294,23.231260061264038,False,0,0,13,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-07-17,1675069637,529.7787046432495,9790,ML-RefVm-847530,10.0.0.15,365.38887763023376,0,13,0.009334325790405273
13,0.023641285422605043,0.2884061652071336,0.9439338235294118,23.31156039237976,False,0,0,14,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-07-40,1675069660,553.0902650356293,9790,ML-RefVm-847530,10.0.0.15,388.7004380226135,0,14,0.009334325790405273
14,0.037431284018299156,0.3209260491763844,0.9375,22.403099298477173,False,0,0,15,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-08-03,1675069683,575.4933643341064,9790,ML-RefVm-847530,10.0.0.15,411.1035373210907,0,15,0.009334325790405273
15,0.018476659304224978,0.29399051429594264,0.9393382352941176,22.654809713363647,False,0,0,16,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-08-25,1675069705,598.1481740474701,9790,ML-RefVm-847530,10.0.0.15,433.75834703445435,0,16,0.009334325790405273
16,0.022111415009324748,0.364282064139843,0.9227941176470589,22.804575443267822,False,0,0,17,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-08-48,1675069728,620.9527494907379,9790,ML-RefVm-847530,10.0.0.15,456.56292247772217,0,17,0.009334325790405273
17,0.017867987637645473,0.25053104889743466,0.9549632352941176,22.526986837387085,False,0,0,18,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-09-11,1675069751,643.479736328125,9790,ML-RefVm-847530,10.0.0.15,479.08990931510925,0,18,0.009334325790405273
18,0.013119535251319701,0.3353339871939491,0.9443933823529411,22.663445234298706,False,0,0,19,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-09-33,1675069773,666.1431815624237,9790,ML-RefVm-847530,10.0.0.15,501.75335454940796,0,19,0.009334325790405273
19,0.010529282155866716,0.35160614243325067,0.9352022058823529,22.890756845474243,False,0,0,20,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-09-56,1675069796,689.033938407898,9790,ML-RefVm-847530,10.0.0.15,524.6441113948822,0,20,0.009334325790405273
20,0.027616068497117535,0.28401502660092187,0.9448529411764706,22.88507056236267,False,0,0,21,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-10-19,1675069819,711.9190089702606,9790,ML-RefVm-847530,10.0.0.15,547.5291819572449,0,21,0.009334325790405273
21,0.010003352227310339,0.3354121998829,0.9430147058823529,22.6788969039917,False,0,0,22,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-10-42,1675069842,734.5979058742523,9790,ML-RefVm-847530,10.0.0.15,570.2080788612366,0,22,0.009334325790405273
22,0.012566883176309513,0.2909988909959793,0.9485294117647058,22.846657752990723,False,0,0,23,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-11-05,1675069865,757.444563627243,9790,ML-RefVm-847530,10.0.0.15,593.0547366142273,0,23,0.009334325790405273
23,0.004004108269845008,0.2851967013934079,0.9517463235294118,22.686879873275757,False,0,0,24,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-11-27,1675069887,780.1314435005188,9790,ML-RefVm-847530,10.0.0.15,615.741616487503,0,24,0.009334325790405273
24,0.00929956331474743,0.3515370553907226,0.9296875,23.03499484062195,False,0,0,25,4dc21f51,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-11-50,1675069910,803.1664383411407,9790,ML-RefVm-847530,10.0.0.15,638.776611328125,0,25,0.009334325790405273
