iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.881687977734734,2.876258176915786,0.09329044117647059,30.630879640579224,False,,,1,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_08-57-20,1675069040,30.630879640579224,2335,ML-RefVm-847530,10.0.0.15,30.630879640579224,0,1,0.0036056041717529297
0,2.88772325889737,2.9445738371680763,0.09696691176470588,41.90514779090881,False,0,0,1,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-00-18,1675069218,72.53602743148804,5532,ML-RefVm-847530,10.0.0.15,41.90514779090881,0,1,0.01181483268737793
1,2.527729450487623,2.3008918481714584,0.24402573529411764,27.57260227203369,False,0,0,2,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-00-45,1675069245,100.10862970352173,5532,ML-RefVm-847530,10.0.0.15,69.4777500629425,0,2,0.01181483268737793
2,1.5612212419509888,1.2697268023210413,0.6231617647058824,23.110597610473633,False,0,0,3,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-01-08,1675069268,123.21922731399536,5532,ML-RefVm-847530,10.0.0.15,92.58834767341614,0,3,0.01181483268737793
3,0.846153831949421,0.7543396143352284,0.7784926470588235,34.76928400993347,False,0,0,4,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-01-43,1675069303,157.98851132392883,5532,ML-RefVm-847530,10.0.0.15,127.35763168334961,0,4,0.01181483268737793
4,0.42461345271736967,0.5431937154601602,0.8465073529411765,31.73561453819275,False,0,0,5,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-02-15,1675069335,189.72412586212158,5532,ML-RefVm-847530,10.0.0.15,159.09324622154236,0,5,0.01181483268737793
5,0.21556358930526995,0.33437975715188417,0.9108455882352942,37.071248292922974,False,0,0,6,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-02-52,1675069372,226.79537415504456,5532,ML-RefVm-847530,10.0.0.15,196.16449451446533,0,6,0.01181483268737793
6,0.12492592442853778,0.30586817597641663,0.9181985294117647,30.653658390045166,False,0,0,7,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-03-23,1675069403,257.4490325450897,5532,ML-RefVm-847530,10.0.0.15,226.8181529045105,0,7,0.01181483268737793
7,0.07820419799171242,0.2950701139429036,0.9287683823529411,37.69030690193176,False,0,0,8,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-04-00,1675069440,295.1393394470215,5532,ML-RefVm-847530,10.0.0.15,264.50845980644226,0,8,0.01181483268737793
8,0.05273033075911157,0.2926073249648599,0.9204963235294118,35.36120843887329,False,0,0,9,6be0e32a,74cc7a3ead9c4759bda6ccd1240fa94d,2023-01-30_09-04-36,1675069476,330.5005478858948,5532,ML-RefVm-847530,10.0.0.15,299.86966824531555,0,9,0.01181483268737793
