iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.874798863541846,2.8352855654323803,0.08547794117647059,44.41798162460327,False,,,1,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-30-59,1675071059,44.41798162460327,19572,ML-RefVm-847530,10.0.0.15,44.41798162460327,0,1,0.005952596664428711
0,2.8844877972322354,2.88976331318126,0.06801470588235294,43.676801681518555,False,0,0,1,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-34-55,1675071295,88.09478330612183,23273,ML-RefVm-847530,10.0.0.15,43.676801681518555,0,1,0.008562088012695312
1,2.5045164846906474,2.390011142281925,0.15808823529411764,41.72003221511841,False,0,0,2,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-35-37,1675071337,129.81481552124023,23273,ML-RefVm-847530,10.0.0.15,85.39683389663696,0,2,0.008562088012695312
2,1.7214475332521926,1.2524266313104069,0.5882352941176471,41.29599952697754,False,0,0,3,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-36-18,1675071378,171.11081504821777,23273,ML-RefVm-847530,10.0.0.15,126.6928334236145,0,3,0.008562088012695312
0,2.8859396822312298,2.966293783748851,0.08731617647058823,30.40721082687378,False,0,0,1,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-38-41,1675071521,201.51802587509155,28212,ML-RefVm-847530,10.0.0.15,30.40721082687378,0,1,0.012201070785522461
1,2.5880120642044964,2.2828382323769962,0.20588235294117646,36.478686809539795,False,0,0,2,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-39-17,1675071557,237.99671268463135,28212,ML-RefVm-847530,10.0.0.15,66.88589763641357,0,2,0.012201070785522461
2,1.6703949021358115,1.2775087847429163,0.6075367647058824,29.926560878753662,False,0,0,3,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-39-47,1675071587,267.923273563385,28212,ML-RefVm-847530,10.0.0.15,96.81245851516724,0,3,0.012201070785522461
3,0.954466302020877,0.8208918255918166,0.7872242647058824,32.66466760635376,False,0,0,4,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-40-20,1675071620,300.58794116973877,28212,ML-RefVm-847530,10.0.0.15,129.477126121521,0,4,0.012201070785522461
4,0.46108856242077023,0.5560597058604745,0.8625919117647058,31.032819747924805,False,0,0,5,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-40-51,1675071651,331.6207609176636,28212,ML-RefVm-847530,10.0.0.15,160.5099458694458,0,5,0.012201070785522461
5,0.30261093173541276,0.4790872756172629,0.8754595588235294,32.80588746070862,False,0,0,6,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-41-23,1675071683,364.4266483783722,28212,ML-RefVm-847530,10.0.0.15,193.31583333015442,0,6,0.012201070785522461
6,0.21062402602504282,0.42640290803769054,0.8883272058823529,32.58165907859802,False,0,0,7,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-41-56,1675071716,397.0083074569702,28212,ML-RefVm-847530,10.0.0.15,225.89749240875244,0,7,0.012201070785522461
7,0.1131682764811843,0.30748911727877226,0.9241727941176471,32.47499918937683,False,0,0,8,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-42-28,1675071748,429.48330664634705,28212,ML-RefVm-847530,10.0.0.15,258.3724915981293,0,8,0.012201070785522461
8,0.08061005343116966,0.3256024385199827,0.9223345588235294,33.10895085334778,False,0,0,9,77a0d909,3aa01e8df1b441498bfd13c6aaa16a1d,2023-01-30_09-43-02,1675071782,462.5922574996948,28212,ML-RefVm-847530,10.0.0.15,291.48144245147705,0,9,0.012201070785522461
