iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,3.0262112103256524,2.7432365557726692,0.14292279411764705,68.20720601081848,False,,,1,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-30-28,1675071028,68.20720601081848,19498,ML-RefVm-847530,10.0.0.15,68.20720601081848,0,1,0.0035915374755859375
0,2.7984989437402463,2.577022005529965,0.09972426470588236,66.75777697563171,False,0,0,1,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-34-01,1675071241,134.9649829864502,19498,ML-RefVm-847530,10.0.0.15,66.75777697563171,0,1,0.0035915374755859375
1,2.096668687521243,1.549651777043062,0.5110294117647058,68.6321611404419,False,0,0,2,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-35-10,1675071310,203.5971441268921,19498,ML-RefVm-847530,10.0.0.15,135.3899381160736,0,2,0.0035915374755859375
2,1.1023767193158467,1.0599637697724735,0.7095588235294118,69.96784973144531,False,0,0,3,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-36-20,1675071380,273.5649938583374,19498,ML-RefVm-847530,10.0.0.15,205.35778784751892,0,3,0.0035915374755859375
0,2.9040353157941032,2.9189019623924706,0.08088235294117647,59.55215406417847,False,0,0,1,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-39-06,1675071546,333.11714792251587,19498,ML-RefVm-847530,10.0.0.15,59.55215406417847,0,1,0.0035915374755859375
1,2.531535693243438,1.878156255273258,0.33639705882352944,52.82643747329712,False,0,0,2,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-39-59,1675071599,385.943585395813,19498,ML-RefVm-847530,10.0.0.15,112.37859153747559,0,2,0.0035915374755859375
2,1.3397168482051176,0.9863382157157449,0.7090992647058824,51.678853034973145,False,0,0,3,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-40-50,1675071650,437.62243843078613,19498,ML-RefVm-847530,10.0.0.15,164.05744457244873,0,3,0.0035915374755859375
3,0.5223627040783564,0.5479342323892257,0.8575367647058824,56.509437561035156,False,0,0,4,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-41-47,1675071707,494.1318759918213,19498,ML-RefVm-847530,10.0.0.15,220.5668821334839,0,4,0.0035915374755859375
4,0.24240825296032661,0.4618728669250713,0.8791360294117647,60.040406703948975,False,0,0,5,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-42-47,1675071767,554.1722826957703,19498,ML-RefVm-847530,10.0.0.15,280.60728883743286,0,5,0.0035915374755859375
5,0.12892014124229842,0.32389987216276284,0.9140625,44.44023633003235,False,0,0,6,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-43-31,1675071811,598.6125190258026,19498,ML-RefVm-847530,10.0.0.15,325.0475251674652,0,6,0.0035915374755859375
6,0.09194808679760672,0.37067938464529376,0.9103860294117647,38.886033058166504,False,0,0,7,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-44-10,1675071850,637.4985520839691,19498,ML-RefVm-847530,10.0.0.15,363.9335582256317,0,7,0.0035915374755859375
7,0.04964031812314894,0.19913756978862426,0.9503676470588235,39.87125611305237,False,0,0,8,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-44-50,1675071890,677.3698081970215,19498,ML-RefVm-847530,10.0.0.15,403.8048143386841,0,8,0.0035915374755859375
8,0.044868232335383985,0.29668333688203025,0.9283088235294118,38.49154329299927,True,0,0,9,ab8bf972,9d5f38e60a774bd5ac76c02d78b1753e,2023-01-30_09-45-29,1675071929,715.8613514900208,19498,ML-RefVm-847530,10.0.0.15,442.29635763168335,0,9,0.0035915374755859375
