iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.891175728218228,2.901863589006312,0.08777573529411764,25.764267444610596,False,,,1,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-29-21,1675074561,25.764267444610596,45369,ML-RefVm-847530,10.0.0.15,25.764267444610596,0,1,0.004871368408203125
0,2.87872903954749,2.9035434442407944,0.08088235294117647,27.449171543121338,False,0,0,1,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-30-34,1675074634,53.213438987731934,47607,ML-RefVm-847530,10.0.0.15,27.449171543121338,0,1,0.010181188583374023
1,2.5230554365644267,2.268987599541159,0.23529411764705882,24.683055639266968,False,0,0,2,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-30-58,1675074658,77.8964946269989,47607,ML-RefVm-847530,10.0.0.15,52.132227182388306,0,2,0.010181188583374023
2,1.86984869779325,1.6572625566931332,0.4572610294117647,24.98706340789795,False,0,0,3,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-31-23,1675074683,102.88355803489685,47607,ML-RefVm-847530,10.0.0.15,77.11929059028625,0,3,0.010181188583374023
0,2.892700672149658,2.937684788423426,0.08318014705882353,20.097329139709473,False,0,0,1,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-32-29,1675074749,122.98088717460632,47605,ML-RefVm-847530,10.0.0.15,20.097329139709473,0,1,0.01132512092590332
1,2.713796704423194,2.789432273191564,0.11856617647058823,18.880555629730225,False,0,0,2,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-32-47,1675074767,141.86144280433655,47605,ML-RefVm-847530,10.0.0.15,38.9778847694397,0,2,0.01132512092590332
2,1.9557608786751242,1.52493917240816,0.48621323529411764,20.384682416915894,False,0,0,3,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-08,1675074788,162.24612522125244,47605,ML-RefVm-847530,10.0.0.15,59.36256718635559,0,3,0.01132512092590332
3,1.0925587310510523,1.0477058747235466,0.6750919117647058,20.503553867340088,False,0,0,4,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-28,1675074808,182.74967908859253,47605,ML-RefVm-847530,10.0.0.15,79.86612105369568,0,4,0.01132512092590332
4,0.6376834108549005,0.7050582100363338,0.8428308823529411,20.193552255630493,False,0,0,5,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-49,1675074829,202.94323134422302,47605,ML-RefVm-847530,10.0.0.15,100.05967330932617,0,5,0.01132512092590332
5,0.37546051249784584,0.5133163473185371,0.8786764705882353,16.580094575881958,False,0,0,6,dc3737ea,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-34-05,1675074845,219.52332592010498,47605,ML-RefVm-847530,10.0.0.15,116.63976788520813,0,6,0.01132512092590332
