iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8858353670905617,2.86756791787989,0.09880514705882353,17.31346583366394,False,,,1,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-29-39,1675074579,17.31346583366394,45369,ML-RefVm-847530,10.0.0.15,17.31346583366394,0,1,0.004871368408203125
0,2.886567003586713,2.905169164433199,0.07169117647058823,16.343456506729126,False,0,0,1,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-31-14,1675074674,33.656922340393066,47605,ML-RefVm-847530,10.0.0.15,16.343456506729126,0,1,0.01132512092590332
1,2.4682951207254447,2.4670938463772045,0.15533088235294118,14.364694356918335,False,0,0,2,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-31-28,1675074688,48.0216166973114,47605,ML-RefVm-847530,10.0.0.15,30.70815086364746,0,2,0.01132512092590332
2,2.1093325404559864,1.9788170842563404,0.29181985294117646,13.955542802810669,False,0,0,3,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-31-42,1675074702,61.97715950012207,47605,ML-RefVm-847530,10.0.0.15,44.66369366645813,0,3,0.01132512092590332
0,2.9178128242492676,2.9267770963556625,0.08363970588235294,13.42232871055603,False,0,0,1,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-32-26,1675074746,75.3994882106781,50814,ML-RefVm-847530,10.0.0.15,13.42232871055603,0,1,0.007536411285400391
1,2.7104640614752675,2.557408094406128,0.11397058823529412,12.282778024673462,False,0,0,2,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-32-38,1675074758,87.68226623535156,50814,ML-RefVm-847530,10.0.0.15,25.705106735229492,0,2,0.007536411285400391
2,2.17316879010668,1.9762487481622135,0.40579044117647056,12.49786639213562,False,0,0,3,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-32-51,1675074771,100.18013262748718,50814,ML-RefVm-847530,10.0.0.15,38.20297312736511,0,3,0.007536411285400391
3,1.6124955065110151,1.624737164553474,0.5932904411764706,11.459099292755127,False,0,0,4,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-02,1675074782,111.63923192024231,50814,ML-RefVm-847530,10.0.0.15,49.66207242012024,0,4,0.007536411285400391
4,1.1659640739945805,1.1772593470180737,0.6976102941176471,12.003822088241577,False,0,0,5,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-14,1675074794,123.64305400848389,50814,ML-RefVm-847530,10.0.0.15,61.665894508361816,0,5,0.007536411285400391
5,0.7711833645315731,0.8411137426600737,0.7890625,11.80949330329895,False,0,0,6,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-26,1675074806,135.45254731178284,50814,ML-RefVm-847530,10.0.0.15,73.47538781166077,0,6,0.007536411285400391
6,0.5050248147225848,0.9305040100041557,0.78125,12.295007467269897,False,0,0,7,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-38,1675074818,147.74755477905273,50814,ML-RefVm-847530,10.0.0.15,85.77039527893066,0,7,0.007536411285400391
7,0.36756400705552567,0.6206733216257656,0.8579963235294118,12.79720401763916,False,0,0,8,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-33-51,1675074831,160.5447587966919,50814,ML-RefVm-847530,10.0.0.15,98.56759929656982,0,8,0.007536411285400391
8,0.23728632970767863,0.5299695011447457,0.8805147058823529,11.52675986289978,False,0,0,9,e712dcc6,ceef88bfe3dd4782a1a937757d3dac35,2023-01-30_10-34-02,1675074842,172.07151865959167,50814,ML-RefVm-847530,10.0.0.15,110.0943591594696,0,9,0.007536411285400391
