iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8828838292290184,2.872682781780467,0.0978860294117647,56.380725145339966,False,,,1,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-42-20,1675075340,56.380725145339966,58127,ML-RefVm-847530,10.0.0.15,56.380725145339966,0,1,0.0059359073638916016
0,2.896317612891104,2.83692546451793,0.10661764705882353,59.622154712677,False,0,0,1,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-45-36,1675075536,116.00287985801697,61708,ML-RefVm-847530,10.0.0.15,59.622154712677,0,1,0.012535572052001953
1,2.2470593499202356,1.9434296173207901,0.38419117647058826,54.2674663066864,False,0,0,2,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-46-30,1675075590,170.27034616470337,61708,ML-RefVm-847530,10.0.0.15,113.8896210193634,0,2,0.012535572052001953
2,1.247894680967518,0.8795831974814919,0.7867647058823529,53.35216689109802,False,0,0,3,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-47-24,1675075644,223.6225130558014,61708,ML-RefVm-847530,10.0.0.15,167.24178791046143,0,3,0.012535572052001953
0,2.7658235606025245,2.566246229059556,0.14292279411764705,45.88078951835632,False,0,0,1,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-50-39,1675075839,269.5033025741577,66868,ML-RefVm-847530,10.0.0.15,45.88078951835632,0,1,0.008445024490356445
1,2.0869553883870444,1.6299355170306038,0.4522058823529412,44.52659869194031,False,0,0,2,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-51-23,1675075883,314.029901266098,66868,ML-RefVm-847530,10.0.0.15,90.40738821029663,0,2,0.008445024490356445
2,1.0314832423247544,0.8965960285242867,0.7564338235294118,31.967299222946167,False,0,0,3,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-51-55,1675075915,345.9972004890442,66868,ML-RefVm-847530,10.0.0.15,122.3746874332428,0,3,0.008445024490356445
3,0.5687757736327601,0.6253844622303458,0.8193933823529411,36.533265113830566,False,0,0,4,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-52-32,1675075952,382.53046560287476,66868,ML-RefVm-847530,10.0.0.15,158.90795254707336,0,4,0.008445024490356445
4,0.3434888223807017,0.7559242949766272,0.8193933823529411,43.30938363075256,False,0,0,5,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-53-15,1675075995,425.8398492336273,66868,ML-RefVm-847530,10.0.0.15,202.21733617782593,0,5,0.008445024490356445
5,0.32939758677692976,0.3950367692638846,0.9007352941176471,38.84213733673096,False,0,0,6,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-53-54,1675076034,464.6819865703583,66868,ML-RefVm-847530,10.0.0.15,241.05947351455688,0,6,0.008445024490356445
6,0.11111216086382959,0.31320001798517566,0.9200367647058824,41.89688062667847,False,0,0,7,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-54-36,1675076076,506.57886719703674,66868,ML-RefVm-847530,10.0.0.15,282.95635414123535,0,7,0.008445024490356445
7,0.08431246591841474,0.3009233650039224,0.9315257352941176,44.14210367202759,False,0,0,8,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-55-20,1675076120,550.7209708690643,66868,ML-RefVm-847530,10.0.0.15,327.09845781326294,0,8,0.008445024490356445
8,0.0629176771377816,0.2996804407414268,0.9370404411764706,31.336100101470947,False,0,0,9,93c07d21,378ab63b42aa40489f6df108522251f8,2023-01-30_10-55-51,1675076151,582.0570709705353,66868,ML-RefVm-847530,10.0.0.15,358.4345579147339,0,9,0.008445024490356445
