iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8226216260124657,2.496114324120914,0.12729779411764705,65.11855125427246,False,,,1,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-42-25,1675075345,65.11855125427246,58167,ML-RefVm-847530,10.0.0.15,65.11855125427246,0,1,0.00518798828125
0,2.8395545856625426,2.6717995054581585,0.1208639705882353,64.97621870040894,False,0,0,1,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-45-37,1675075537,130.0947699546814,58170,ML-RefVm-847530,10.0.0.15,64.97621870040894,0,1,0.004734992980957031
1,1.9846125724268895,1.6949149370193481,0.4296875,65.57831048965454,False,0,0,2,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-46-42,1675075602,195.67308044433594,58170,ML-RefVm-847530,10.0.0.15,130.55452919006348,0,2,0.004734992980957031
2,1.2054471198250265,0.9192422523218042,0.7357536764705882,66.32969450950623,False,0,0,3,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-47-49,1675075669,262.00277495384216,58170,ML-RefVm-847530,10.0.0.15,196.8842236995697,0,3,0.004734992980957031
0,2.849353215273689,2.8325713382047764,0.10431985294117647,58.0487642288208,False,0,0,1,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-50-47,1675075847,320.05153918266296,58170,ML-RefVm-847530,10.0.0.15,58.0487642288208,0,1,0.004734992980957031
1,2.201032619850308,1.8506426109987146,0.390625,56.40593147277832,False,0,0,2,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-51-44,1675075904,376.4574706554413,58170,ML-RefVm-847530,10.0.0.15,114.45469570159912,0,2,0.004734992980957031
2,1.2125496572139216,0.9669937596601599,0.7279411764705882,58.606327056884766,False,0,0,3,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-52-42,1675075962,435.06379771232605,58170,ML-RefVm-847530,10.0.0.15,173.0610227584839,0,3,0.004734992980957031
3,0.6422235737828648,0.9815313395331887,0.7596507352941176,51.436726093292236,False,0,0,4,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-53-34,1675076014,486.5005238056183,58170,ML-RefVm-847530,10.0.0.15,224.49774885177612,0,4,0.004734992980957031
4,0.3686893456706814,0.44727210437550263,0.8874080882352942,60.426223278045654,False,0,0,5,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-54-34,1675076074,546.9267470836639,58170,ML-RefVm-847530,10.0.0.15,284.9239721298218,0,5,0.004734992980957031
5,0.2217471820174479,0.3528003604973064,0.9145220588235294,49.24897003173828,False,0,0,6,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-55-23,1675076123,596.1757171154022,58170,ML-RefVm-847530,10.0.0.15,334.17294216156006,0,6,0.004734992980957031
6,0.11781039483406965,0.333538202678456,0.9177389705882353,36.52298879623413,False,0,0,7,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-56-00,1675076160,632.6987059116364,58170,ML-RefVm-847530,10.0.0.15,370.6959309577942,0,7,0.004734992980957031
7,0.11663631346149772,0.3142711862045176,0.9269301470588235,36.346829652786255,False,0,0,8,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-56-36,1675076196,669.0455355644226,58170,ML-RefVm-847530,10.0.0.15,407.04276061058044,0,8,0.004734992980957031
8,0.06273817899180394,0.2782793759423144,0.9246323529411765,36.15449070930481,True,0,0,9,a4a4f7ff,a2488a560e2e4a5c953f0254c9db6f3f,2023-01-30_10-57-12,1675076232,705.2000262737274,58170,ML-RefVm-847530,10.0.0.15,443.19725131988525,0,9,0.004734992980957031
