iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.883457253961002,2.809132463791791,0.08409926470588236,60.78855037689209,False,,,1,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-44-26,1675075466,60.78855037689209,58127,ML-RefVm-847530,10.0.0.15,60.78855037689209,0,1,0.0059359073638916016
0,2.7554444845984962,2.5139162259943344,0.1135110294117647,62.54702353477478,False,0,0,1,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-48-25,1675075705,123.33557391166687,61706,ML-RefVm-847530,10.0.0.15,62.54702353477478,0,1,0.013056039810180664
1,1.988371587267109,1.513052968417897,0.5326286764705882,44.94666886329651,False,0,0,2,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-49-10,1675075750,168.28224277496338,61706,ML-RefVm-847530,10.0.0.15,107.49369239807129,0,2,0.013056039810180664
2,0.9607330560684204,0.9307616037480971,0.7467830882352942,38.99758434295654,False,0,0,3,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-49-49,1675075789,207.27982711791992,61706,ML-RefVm-847530,10.0.0.15,146.49127674102783,0,3,0.013056039810180664
3,0.5358658619955474,0.504438125035342,0.8575367647058824,51.248719215393066,False,0,0,4,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-50-40,1675075840,258.528546333313,61706,ML-RefVm-847530,10.0.0.15,197.7399959564209,0,4,0.013056039810180664
4,0.24146770861218958,0.3240983573829426,0.9191176470588235,53.78035759925842,False,0,0,5,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-51-34,1675075894,312.3089039325714,61706,ML-RefVm-847530,10.0.0.15,251.52035355567932,0,5,0.013056039810180664
5,0.13495136958126927,0.3264450544820112,0.9181985294117647,58.2310426235199,False,0,0,6,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-52-33,1675075953,370.5399465560913,61706,ML-RefVm-847530,10.0.0.15,309.7513961791992,0,6,0.013056039810180664
6,0.11463974357820024,0.26909530776388507,0.9315257352941176,56.05708312988281,False,0,0,7,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-53-29,1675076009,426.5970296859741,61706,ML-RefVm-847530,10.0.0.15,365.80847930908203,0,7,0.013056039810180664
7,0.06833794713020325,0.23954455006648512,0.9388786764705882,52.474836587905884,False,0,0,8,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-54-21,1675076061,479.07186627388,61706,ML-RefVm-847530,10.0.0.15,418.2833158969879,0,8,0.013056039810180664
8,0.04141461609990573,0.26024167371146817,0.9352022058823529,56.04432535171509,False,0,0,9,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-55-17,1675076117,535.1161916255951,61706,ML-RefVm-847530,10.0.0.15,474.327641248703,0,9,0.013056039810180664
0,2.8557043683295156,3.025803425732781,0.0822610294117647,39.36017966270447,False,0,0,1,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-57-52,1675076272,574.4763712882996,66868,ML-RefVm-847530,10.0.0.15,39.36017966270447,0,1,0.008445024490356445
1,2.325397262386247,1.7884341899086447,0.38143382352941174,37.971253633499146,False,0,0,2,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-58-30,1675076310,612.4476249217987,66868,ML-RefVm-847530,10.0.0.15,77.33143329620361,0,2,0.008445024490356445
2,1.218523966331108,1.0918475424542147,0.6645220588235294,38.37022924423218,False,0,0,3,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-59-08,1675076348,650.8178541660309,66868,ML-RefVm-847530,10.0.0.15,115.70166254043579,0,3,0.008445024490356445
3,0.5336513010894551,0.4846666613045861,0.8786764705882353,38.33139705657959,False,0,0,4,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_10-59-47,1675076387,689.1492512226105,66868,ML-RefVm-847530,10.0.0.15,154.03305959701538,0,4,0.008445024490356445
4,0.23419372269920274,0.371657389051774,0.8924632352941176,38.30163526535034,False,0,0,5,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-00-25,1675076425,727.4508864879608,66868,ML-RefVm-847530,10.0.0.15,192.33469486236572,0,5,0.008445024490356445
5,0.16267258016502156,0.30366795378572803,0.9204963235294118,38.08530116081238,False,0,0,6,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-01-03,1675076463,765.5361876487732,66868,ML-RefVm-847530,10.0.0.15,230.4199960231781,0,6,0.008445024490356445
6,0.1038156474630038,0.34683657481389885,0.9126838235294118,37.58615756034851,False,0,0,7,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-01-41,1675076501,803.1223452091217,66868,ML-RefVm-847530,10.0.0.15,268.0061535835266,0,7,0.008445024490356445
7,0.05894899961776009,0.24522767084486344,0.9416360294117647,38.63742661476135,False,0,0,8,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-02-19,1675076539,841.759771823883,66868,ML-RefVm-847530,10.0.0.15,306.64358019828796,0,8,0.008445024490356445
8,0.06230254319733849,0.26943589352509556,0.9365808823529411,38.169771671295166,False,0,0,9,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-02-57,1675076577,879.9295434951782,66868,ML-RefVm-847530,10.0.0.15,344.81335186958313,0,9,0.008445024490356445
9,0.04973276929162881,0.23327223430661595,0.9494485294117647,37.63168716430664,False,0,0,10,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-03-35,1675076615,917.5612306594849,66868,ML-RefVm-847530,10.0.0.15,382.44503903388977,0,10,0.008445024490356445
10,0.043354054164214464,0.21437409739283955,0.9485294117647058,37.94339680671692,False,0,0,11,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-04-13,1675076653,955.5046274662018,66868,ML-RefVm-847530,10.0.0.15,420.3884358406067,0,11,0.008445024490356445
11,0.018612194568941406,0.2050943225622177,0.9545036764705882,38.0674204826355,False,0,0,12,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-04-51,1675076691,993.5720479488373,66868,ML-RefVm-847530,10.0.0.15,458.4558563232422,0,12,0.008445024490356445
12,0.04911502479009476,0.2620897494694766,0.9416360294117647,38.14056706428528,False,0,0,13,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-05-29,1675076729,1031.7126150131226,66868,ML-RefVm-847530,10.0.0.15,496.59642338752747,0,13,0.008445024490356445
13,0.05826228254419916,0.29346263846930337,0.9315257352941176,37.46756315231323,False,0,0,14,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-06-07,1675076767,1069.1801781654358,66868,ML-RefVm-847530,10.0.0.15,534.0639865398407,0,14,0.008445024490356445
14,0.02113908900441054,0.20998850771609476,0.9581801470588235,37.94722294807434,False,0,0,15,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-06-45,1675076805,1107.1274011135101,66868,ML-RefVm-847530,10.0.0.15,572.011209487915,0,15,0.008445024490356445
15,0.008365608703838113,0.18296801693299236,0.9600183823529411,37.71969127655029,False,0,0,16,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-07-22,1675076842,1144.8470923900604,66868,ML-RefVm-847530,10.0.0.15,609.7309007644653,0,16,0.008445024490356445
16,0.008008180626704558,0.17439456470310688,0.9609375,37.58968377113342,False,0,0,17,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-08-00,1675076880,1182.4367761611938,66868,ML-RefVm-847530,10.0.0.15,647.3205845355988,0,17,0.008445024490356445
17,0.009900386118804854,0.18166481807608814,0.9595588235294118,37.31567168235779,False,0,0,18,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-08-37,1675076917,1219.7524478435516,66868,ML-RefVm-847530,10.0.0.15,684.6362562179565,0,18,0.008445024490356445
18,0.010101547282116086,0.19740272269529455,0.9568014705882353,37.26170349121094,False,0,0,19,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-09-14,1675076954,1257.0141513347626,66868,ML-RefVm-847530,10.0.0.15,721.8979597091675,0,19,0.008445024490356445
19,0.010274695401426916,0.1679958766874145,0.9641544117647058,37.36892628669739,False,0,0,20,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-09-52,1675076992,1294.38307762146,66868,ML-RefVm-847530,10.0.0.15,759.2668859958649,0,20,0.008445024490356445
20,0.011223391901391247,0.19104801929172346,0.9577205882352942,37.45621132850647,False,0,0,21,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-10-29,1675077029,1331.8392889499664,66868,ML-RefVm-847530,10.0.0.15,796.7230973243713,0,21,0.008445024490356445
21,0.0038323246670759047,0.17857691755189614,0.9604779411764706,37.27947473526001,False,0,0,22,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-11-07,1675077067,1369.1187636852264,66868,ML-RefVm-847530,10.0.0.15,834.0025720596313,0,22,0.008445024490356445
22,0.0024159793917765365,0.15471340672058218,0.9664522058823529,37.48615598678589,False,0,0,23,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-11-44,1675077104,1406.6049196720123,66868,ML-RefVm-847530,10.0.0.15,871.4887280464172,0,23,0.008445024490356445
23,0.0017412692701042282,0.1808356804882779,0.9613970588235294,37.80218458175659,False,0,0,24,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-12-22,1675077142,1444.407104253769,66868,ML-RefVm-847530,10.0.0.15,909.2909126281738,0,24,0.008445024490356445
24,0.005619035539555126,0.17705383042202277,0.9618566176470589,37.51251220703125,False,0,0,25,d2981c2c,378ab63b42aa40489f6df108522251f8,2023-01-30_11-12-59,1675077179,1481.9196164608002,66868,ML-RefVm-847530,10.0.0.15,946.8034248352051,0,25,0.008445024490356445
