iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8629652518852082,2.7442682771121754,0.08272058823529412,57.72494101524353,False,,,1,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-12-35,1675087955,57.72494101524353,26238,ML-RefVm-847530,10.0.0.15,57.72494101524353,0,1,0.0047588348388671875
0,2.87204815827164,3.126999448327457,0.07261029411764706,58.38518190383911,False,0,0,1,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-19-27,1675088367,116.11012291908264,26239,ML-RefVm-847530,10.0.0.15,58.38518190383911,0,1,0.00628352165222168
1,2.6353133285746857,2.265366329866297,0.203125,57.26721930503845,False,0,0,2,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-20-24,1675088424,173.3773422241211,26239,ML-RefVm-847530,10.0.0.15,115.65240120887756,0,2,0.00628352165222168
2,1.7096735846762563,1.33370243100559,0.5441176470588235,56.6316659450531,False,0,0,3,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-21-21,1675088481,230.0090081691742,26239,ML-RefVm-847530,10.0.0.15,172.28406715393066,0,3,0.00628352165222168
0,2.8321840435850856,2.7953342409694897,0.07215073529411764,54.76667022705078,False,0,0,1,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-30-01,1675089001,284.775678396225,32459,ML-RefVm-847530,10.0.0.15,54.76667022705078,0,1,0.00948023796081543
1,2.393134860431447,2.2933284955866196,0.17738970588235295,51.412269115448,False,0,0,2,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-30-52,1675089052,336.187947511673,32459,ML-RefVm-847530,10.0.0.15,106.17893934249878,0,2,0.00948023796081543
2,2.077064785302854,1.9213708078160006,0.3235294117647059,34.45663595199585,False,0,0,3,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-31-27,1675089087,370.6445834636688,32459,ML-RefVm-847530,10.0.0.15,140.63557529449463,0,3,0.00948023796081543
3,1.4568916138480692,1.253043013460496,0.6314338235294118,35.045111656188965,False,0,0,4,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-32-02,1675089122,405.6896951198578,32459,ML-RefVm-847530,10.0.0.15,175.6806869506836,0,4,0.00948023796081543
4,0.9225749092943528,0.7934522558661068,0.7748161764705882,34.7092707157135,False,0,0,5,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-32-37,1675089157,440.3989658355713,32459,ML-RefVm-847530,10.0.0.15,210.3899576663971,0,5,0.00948023796081543
5,0.4914325598408194,0.6167188286781311,0.8386948529411765,41.23877716064453,False,0,0,6,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-33-18,1675089198,481.6377429962158,32459,ML-RefVm-847530,10.0.0.15,251.62873482704163,0,6,0.00948023796081543
6,0.3260296732187271,0.5304313898086548,0.8607536764705882,46.082255125045776,False,0,0,7,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-34-04,1675089244,527.7199981212616,32459,ML-RefVm-847530,10.0.0.15,297.7109899520874,0,7,0.00948023796081543
7,0.20764177088059632,0.42196782546884876,0.9021139705882353,40.75354719161987,False,0,0,8,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-34-45,1675089285,568.4735453128815,32459,ML-RefVm-847530,10.0.0.15,338.4645371437073,0,8,0.00948023796081543
8,0.15627197731359332,0.35606689663494334,0.9159007352941176,36.26792788505554,False,0,0,9,7d80c1e5,914290390a2e4e1084e8c972a7405a19,2023-01-30_14-35-21,1675089321,604.741473197937,32459,ML-RefVm-847530,10.0.0.15,374.7324650287628,0,9,0.00948023796081543
