iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.860510559643016,2.745402280022116,0.09145220588235294,77.54675793647766,False,,,1,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-18-21,1675088301,77.54675793647766,26241,ML-RefVm-847530,10.0.0.15,77.54675793647766,0,1,0.00485682487487793
0,2.829684757718853,2.7703693053301643,0.07306985294117647,94.77783966064453,False,0,0,1,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-26-09,1675088769,172.3245975971222,32456,ML-RefVm-847530,10.0.0.15,94.77783966064453,0,1,0.01252889633178711
1,2.219332456588745,1.9196976844002218,0.35753676470588236,60.62893867492676,False,0,0,2,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-27-09,1675088829,232.95353627204895,32456,ML-RefVm-847530,10.0.0.15,155.4067783355713,0,2,0.01252889633178711
2,1.3963348959006516,1.2010289711110733,0.609375,53.97997713088989,False,0,0,3,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-28-03,1675088883,286.93351340293884,32456,ML-RefVm-847530,10.0.0.15,209.38675546646118,0,3,0.01252889633178711
0,2.8506321018817378,2.625543987049776,0.1213235294117647,74.14231538772583,False,0,0,1,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-30-24,1675089024,361.0758287906647,41767,ML-RefVm-847530,10.0.0.15,74.14231538772583,0,1,0.007338523864746094
1,2.1829632777793733,1.97410188702976,0.2702205882352941,75.43567776679993,False,0,0,2,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-31-39,1675089099,436.5115065574646,41767,ML-RefVm-847530,10.0.0.15,149.57799315452576,0,2,0.007338523864746094
2,1.556724041116004,1.4609539298450245,0.5730698529411765,87.70270657539368,False,0,0,3,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-33-07,1675089187,524.2142131328583,41767,ML-RefVm-847530,10.0.0.15,237.28069972991943,0,3,0.007338523864746094
3,1.0473580220166374,1.1923313736915588,0.6502757352941176,68.96741127967834,False,0,0,4,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-34-16,1675089256,593.1816244125366,41767,ML-RefVm-847530,10.0.0.15,306.2481110095978,0,4,0.007338523864746094
4,0.6391704024053088,0.7848065881168141,0.7853860294117647,71.96086835861206,False,0,0,5,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-35-28,1675089328,665.1424927711487,41767,ML-RefVm-847530,10.0.0.15,378.20897936820984,0,5,0.007338523864746094
5,0.39492109447133306,0.630527096636155,0.8386948529411765,53.36432886123657,False,0,0,6,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-36-21,1675089381,718.5068216323853,41767,ML-RefVm-847530,10.0.0.15,431.5733082294464,0,6,0.007338523864746094
6,0.27367086650109756,0.47795817255973816,0.8809742647058824,52.70987582206726,False,0,0,7,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-37-14,1675089434,771.2166974544525,41767,ML-RefVm-847530,10.0.0.15,484.2831840515137,0,7,0.007338523864746094
7,0.16010013617136898,0.39875729644999786,0.9103860294117647,53.23805570602417,False,0,0,8,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-38-07,1675089487,824.4547531604767,41767,ML-RefVm-847530,10.0.0.15,537.5212397575378,0,8,0.007338523864746094
8,0.1455964278064522,0.3441507001133526,0.9136029411764706,52.16856575012207,False,0,0,9,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-38-59,1675089539,876.6233189105988,41767,ML-RefVm-847530,10.0.0.15,589.6898055076599,0,9,0.007338523864746094
9,0.17768940402596606,0.34911251068115234,0.9172794117647058,52.408496618270874,False,0,0,10,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-39-52,1675089592,929.0318155288696,41767,ML-RefVm-847530,10.0.0.15,642.0983021259308,0,10,0.007338523864746094
10,0.07819302168254759,0.3054163683863247,0.9296875,52.51265740394592,False,0,0,11,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-40-44,1675089644,981.5444729328156,41767,ML-RefVm-847530,10.0.0.15,694.6109595298767,0,11,0.007338523864746094
11,0.0700105842860306,0.2589563799693304,0.9425551470588235,52.305453062057495,False,0,0,12,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-41-37,1675089697,1033.849925994873,41767,ML-RefVm-847530,10.0.0.15,746.9164125919342,0,12,0.007338523864746094
12,0.06882623216027722,0.24345733663615057,0.9439338235294118,51.088106632232666,False,0,0,13,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-42-28,1675089748,1084.9380326271057,41767,ML-RefVm-847530,10.0.0.15,798.0045192241669,0,13,0.007338523864746094
13,0.05098083644521003,0.1964178847915986,0.9480698529411765,52.63015842437744,False,0,0,14,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-43-20,1675089800,1137.5681910514832,41767,ML-RefVm-847530,10.0.0.15,850.6346776485443,0,14,0.007338523864746094
14,0.04847209926183317,0.24576212027493646,0.9393382352941176,51.73277688026428,False,0,0,15,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-44-12,1675089852,1189.3009679317474,41767,ML-RefVm-847530,10.0.0.15,902.3674545288086,0,15,0.007338523864746094
15,0.02936121981189239,0.21389265972025254,0.9540441176470589,51.60429334640503,False,0,0,16,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-45-04,1675089904,1240.9052612781525,41767,ML-RefVm-847530,10.0.0.15,953.9717478752136,0,16,0.007338523864746094
16,0.030314260418070296,0.24452054500579834,0.9420955882352942,52.36160397529602,False,0,0,17,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-45-56,1675089956,1293.2668652534485,41767,ML-RefVm-847530,10.0.0.15,1006.3333518505096,0,17,0.007338523864746094
17,0.024819025048511287,0.2387124004171175,0.9457720588235294,51.83003520965576,False,0,0,18,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-46-48,1675090008,1345.0969004631042,41767,ML-RefVm-847530,10.0.0.15,1058.1633870601654,0,18,0.007338523864746094
18,0.025370531249791384,0.27452632302747054,0.9466911764705882,52.065624475479126,False,0,0,19,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-47-40,1675090060,1397.1625249385834,41767,ML-RefVm-847530,10.0.0.15,1110.2290115356445,0,19,0.007338523864746094
19,0.011399961761472857,0.26418274991652546,0.9434742647058824,51.95261740684509,False,0,0,20,f67e55c7,bf407c57e7394489b2a7c7bd49670f6b,2023-01-30_14-48-32,1675090112,1449.1151423454285,41767,ML-RefVm-847530,10.0.0.15,1162.1816289424896,0,20,0.007338523864746094
