iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.866528352101644,2.855699384913725,0.07582720588235294,30.688464641571045,False,,,1,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-43-57,1675151037,30.688464641571045,2497,ML-RefVm-847530,10.0.0.15,30.688464641571045,0,1,0.004929780960083008
0,2.8688855217952356,2.8281972688787125,0.11902573529411764,30.105571031570435,False,0,0,1,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-45-28,1675151128,60.79403567314148,5004,ML-RefVm-847530,10.0.0.15,30.105571031570435,0,1,0.013526201248168945
1,2.370255708694458,2.195079529986662,0.27987132352941174,28.892866849899292,False,0,0,2,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-45-57,1675151157,89.68690252304077,5004,ML-RefVm-847530,10.0.0.15,58.99843788146973,0,2,0.013526201248168945
2,1.7218959682128008,1.5877045392990112,0.5625,27.899019718170166,False,0,0,3,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-46-25,1675151185,117.58592224121094,5004,ML-RefVm-847530,10.0.0.15,86.89745759963989,0,3,0.013526201248168945
0,2.876901149749756,2.7562898607815014,0.09053308823529412,26.813249826431274,False,0,0,1,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-47-52,1675151272,144.3991720676422,5004,ML-RefVm-847530,10.0.0.15,26.813249826431274,0,1,0.013526201248168945
1,2.416153108372408,2.2504466701956356,0.2624080882352941,19.795273780822754,False,0,0,2,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-48-12,1675151292,164.19444584846497,5004,ML-RefVm-847530,10.0.0.15,46.60852360725403,0,2,0.013526201248168945
2,1.6809468292722516,1.3573612816193525,0.6383272058823529,20.157235860824585,False,0,0,3,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-48-32,1675151312,184.35168170928955,5004,ML-RefVm-847530,10.0.0.15,66.76575946807861,0,3,0.013526201248168945
3,0.9528388626435224,0.889403430854573,0.7711397058823529,26.432389974594116,False,0,0,4,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-48-59,1675151339,210.78407168388367,5004,ML-RefVm-847530,10.0.0.15,93.19814944267273,0,4,0.013526201248168945
4,0.4715801991668402,0.5365283804781297,0.8667279411764706,26.11326003074646,False,0,0,5,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-49-25,1675151365,236.89733171463013,5004,ML-RefVm-847530,10.0.0.15,119.31140947341919,0,5,0.013526201248168945
5,0.26237760834834156,0.37083471610265617,0.8984375,25.417661905288696,False,0,0,6,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-49-50,1675151390,262.3149936199188,5004,ML-RefVm-847530,10.0.0.15,144.72907137870789,0,6,0.013526201248168945
6,0.18016248824549655,0.4483919161207536,0.8883272058823529,22.256428718566895,False,0,0,7,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-50-12,1675151412,284.5714223384857,5004,ML-RefVm-847530,10.0.0.15,166.98550009727478,0,7,0.013526201248168945
7,0.11376026009812075,0.3544318807475707,0.9172794117647058,16.4605131149292,False,0,0,8,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-50-29,1675151429,301.0319354534149,5004,ML-RefVm-847530,10.0.0.15,183.44601321220398,0,8,0.013526201248168945
8,0.08718490841634133,0.4290308347519706,0.8984375,16.40425205230713,True,0,0,9,457b3dc6,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-50-45,1675151445,317.43618750572205,5004,ML-RefVm-847530,10.0.0.15,199.8502652645111,0,9,0.013526201248168945
