iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8100379728803446,2.587504372877233,0.09880514705882353,35.98325324058533,False,,,1,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-44-46,1675151086,35.98325324058533,2497,ML-RefVm-847530,10.0.0.15,35.98325324058533,0,1,0.004929780960083008
0,2.9262268496494666,2.9607902274412266,0.08639705882352941,27.55707812309265,False,0,0,1,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-46-43,1675151203,63.54033136367798,5021,ML-RefVm-847530,10.0.0.15,27.55707812309265,0,1,0.01172494888305664
1,2.491851460699942,2.2852135826559627,0.18887867647058823,22.285954475402832,False,0,0,2,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-47-05,1675151225,85.82628583908081,5021,ML-RefVm-847530,10.0.0.15,49.84303259849548,0,2,0.01172494888305664
2,1.5177470761186935,1.2071816991357243,0.6305147058823529,19.931973457336426,False,0,0,3,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-47-25,1675151245,105.75825929641724,5021,ML-RefVm-847530,10.0.0.15,69.77500605583191,0,3,0.01172494888305664
3,0.6671717184431413,0.7055750366519479,0.8267463235294118,27.81426191329956,False,0,0,4,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-47-53,1675151273,133.5725212097168,5021,ML-RefVm-847530,10.0.0.15,97.58926796913147,0,4,0.01172494888305664
4,0.3207710957994648,0.4755975051837809,0.8883272058823529,29.578839778900146,False,0,0,5,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-48-23,1675151303,163.15136098861694,5021,ML-RefVm-847530,10.0.0.15,127.16810774803162,0,5,0.01172494888305664
5,0.3135407656139019,0.4105172928641824,0.8901654411764706,27.316441297531128,False,0,0,6,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-48-50,1675151330,190.46780228614807,5021,ML-RefVm-847530,10.0.0.15,154.48454904556274,0,6,0.01172494888305664
6,0.15699399941984346,0.2890751247896868,0.9232536764705882,27.355833292007446,False,0,0,7,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-49-17,1675151357,217.82363557815552,5021,ML-RefVm-847530,10.0.0.15,181.8403823375702,0,7,0.01172494888305664
7,0.06963123874190975,0.29146358458434835,0.9301470588235294,22.743414878845215,False,0,0,8,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-49-40,1675151380,240.56705045700073,5021,ML-RefVm-847530,10.0.0.15,204.5837972164154,0,8,0.01172494888305664
8,0.04397894566257795,0.24583237837342656,0.9411764705882353,25.359267711639404,False,0,0,9,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-50-06,1675151406,265.92631816864014,5021,ML-RefVm-847530,10.0.0.15,229.9430649280548,0,9,0.01172494888305664
0,2.9285936589334525,2.9475281098309685,0.07352941176470588,20.520944118499756,False,0,0,1,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-51-06,1675151466,286.4472622871399,8326,ML-RefVm-847530,10.0.0.15,20.520944118499756,0,1,0.008237123489379883
1,2.4814416473987055,2.3764009335461784,0.2113970588235294,19.966739416122437,False,0,0,2,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-51-26,1675151486,306.41400170326233,8326,ML-RefVm-847530,10.0.0.15,40.48768353462219,0,2,0.008237123489379883
2,1.9838657262278538,1.5860479298759909,0.4921875,19.71589970588684,False,0,0,3,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-51-45,1675151505,326.12990140914917,8326,ML-RefVm-847530,10.0.0.15,60.20358324050903,0,3,0.008237123489379883
3,1.128825095354342,0.9106535946621614,0.7637867647058824,19.786359310150146,False,0,0,4,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-52-05,1675151525,345.9162607192993,8326,ML-RefVm-847530,10.0.0.15,79.98994255065918,0,4,0.008237123489379883
4,0.5744143332920822,0.5353870426907259,0.8630514705882353,19.67029595375061,False,0,0,5,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-52-25,1675151545,365.5865566730499,8326,ML-RefVm-847530,10.0.0.15,99.66023850440979,0,5,0.008237123489379883
5,0.30423080891955134,0.41078973868313956,0.9007352941176471,19.594280242919922,False,0,0,6,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-52-45,1675151565,385.18083691596985,8326,ML-RefVm-847530,10.0.0.15,119.25451874732971,0,6,0.008237123489379883
6,0.1830810870902211,0.39635250936536226,0.90625,19.742628812789917,False,0,0,7,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-53-04,1675151584,404.92346572875977,8326,ML-RefVm-847530,10.0.0.15,138.99714756011963,0,7,0.008237123489379883
7,0.1221842014176004,0.3058890893178828,0.9237132352941176,19.537038803100586,False,0,0,8,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-53-24,1675151604,424.46050453186035,8326,ML-RefVm-847530,10.0.0.15,158.53418636322021,0,8,0.008237123489379883
8,0.09901454197425469,0.31480182444348054,0.9296875,19.869080305099487,False,0,0,9,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-53-44,1675151624,444.32958483695984,8326,ML-RefVm-847530,10.0.0.15,178.4032666683197,0,9,0.008237123489379883
9,0.08656377732461575,0.26087214929216046,0.9402573529411765,19.870439529418945,False,0,0,10,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-54-04,1675151644,464.2000243663788,8326,ML-RefVm-847530,10.0.0.15,198.27370619773865,0,10,0.008237123489379883
10,0.05492891223334214,0.22418789039639866,0.9545036764705882,19.999980449676514,False,0,0,11,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-54-24,1675151664,484.2000048160553,8326,ML-RefVm-847530,10.0.0.15,218.27368664741516,0,11,0.008237123489379883
11,0.058681254001224745,0.22488964436685338,0.9416360294117647,19.968759059906006,False,0,0,12,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-54-44,1675151684,504.1687638759613,8326,ML-RefVm-847530,10.0.0.15,238.24244570732117,0,12,0.008237123489379883
12,0.03235609385677997,0.26486969783025627,0.9430147058823529,19.964695930480957,False,0,0,13,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-55-03,1675151703,524.1334598064423,8326,ML-RefVm-847530,10.0.0.15,258.2071416378021,0,13,0.008237123489379883
13,0.03829914436438212,0.2579342924496707,0.9448529411764706,19.757997274398804,False,0,0,14,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-55-23,1675151723,543.8914570808411,8326,ML-RefVm-847530,10.0.0.15,277.9651389122009,0,14,0.008237123489379883
14,0.03392345965931229,0.2389652382801561,0.9485294117647058,19.72844886779785,False,0,0,15,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-55-43,1675151743,563.6199059486389,8326,ML-RefVm-847530,10.0.0.15,297.6935877799988,0,15,0.008237123489379883
15,0.021005965614070494,0.24191016747671015,0.9471507352941176,19.759926319122314,False,0,0,16,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-56-03,1675151763,583.3798322677612,8326,ML-RefVm-847530,10.0.0.15,317.4535140991211,0,16,0.008237123489379883
16,0.01619545016529075,0.26845868589246974,0.9420955882352942,19.885929584503174,False,0,0,17,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-56-23,1675151783,603.2657618522644,8326,ML-RefVm-847530,10.0.0.15,337.33944368362427,0,17,0.008237123489379883
17,0.013017336020757463,0.2799173898118384,0.9416360294117647,19.779770135879517,False,0,0,18,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-56-42,1675151802,623.0455319881439,8326,ML-RefVm-847530,10.0.0.15,357.1192138195038,0,18,0.008237123489379883
18,0.03171333709421257,0.23749108809758634,0.9480698529411765,19.795378923416138,False,0,0,19,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-57-02,1675151822,642.8409109115601,8326,ML-RefVm-847530,10.0.0.15,376.9145927429199,0,19,0.008237123489379883
19,0.03606609175639117,0.3125128439244102,0.9407169117647058,19.833770990371704,False,0,0,20,de76762f,06ad3d5d751341389ef952e8311f390a,2023-01-31_07-57-22,1675151842,662.6746819019318,8326,ML-RefVm-847530,10.0.0.15,396.7483637332916,0,20,0.008237123489379883
